Time,Humidity,Temperature
717886,57.0,16.9
718911,57.0,16.9
719911,57.0,16.9
720936,57.0,16.9
721936,57.0,16.9
722961,57.0,16.9
723961,57.0,16.9
724986,57.0,16.9
725986,57.0,16.9
727011,57.0,16.9
728011,57.0,16.9
729036,57.0,16.9
730036,57.0,16.9
731061,57.0,16.9
732061,57.0,16.9
733086,57.0,16.9
734086,57.0,16.9
735111,57.0,16.9
736111,57.0,16.9
737136,57.0,16.9
738136,57.0,16.9
739161,57.0,16.9
740161,57.0,16.9
741186,57.0,16.9
742186,57.0,16.9
743211,57.0,16.9
744211,57.0,16.9
745236,57.0,16.9
746236,57.0,16.9
747261,57.0,16.9
748261,57.0,16.9
749286,57.0,16.9
750286,57.0,16.9
751311,57.0,16.9
752311,57.0,16.9
753336,57.0,16.9
754336,57.0,16.9
755361,57.0,16.9
756361,57.0,16.9
757386,57.0,16.9
758386,57.0,16.9
759411,57.0,16.9
760411,57.0,16.9
761436,57.0,16.9
762436,57.0,16.9
763461,57.0,16.9
764461,57.0,16.9
765486,57.0,16.9
766486,57.0,16.9
767511,57.0,16.9
768511,57.0,16.9
769536,57.0,16.9
770536,57.0,16.9
771561,57.0,16.9
772561,57.0,16.9
773586,57.0,16.9
774586,57.0,16.9
775611,57.0,16.9
776611,57.0,16.9
777636,57.0,16.9
778636,57.0,16.9
779661,57.0,16.9
780661,57.0,16.9
781686,57.0,16.9
782686,57.0,16.9
783711,57.0,16.9
784711,57.0,16.9
785736,57.0,16.9
786736,57.0,16.9
787761,57.0,16.9
788761,57.0,16.9
789786,57.0,16.9
790786,57.0,16.9
791811,57.0,16.9
792811,57.0,16.9
793836,57.0,16.9
794836,57.0,16.9
795861,57.0,16.9
796861,57.0,16.9
797886,57.0,16.9
798886,57.0,16.9
799911,57.0,16.9
800911,57.0,16.9
801936,57.0,16.9
802936,57.0,16.9
803961,57.0,16.9
804961,57.0,16.9
805986,57.0,16.9
806986,57.0,16.9
808011,57.0,16.9
809011,57.0,16.9
810036,57.0,16.9
811036,57.0,16.9
812061,57.0,16.9
813061,57.0,16.9
814086,57.0,16.9
815086,57.0,16.9
816111,57.0,16.9
817111,57.0,16.9
818136,57.0,16.9
819136,57.0,16.9
820161,57.0,16.9
821161,57.0,16.9
822186,57.0,16.9
823186,57.0,16.9
824211,57.0,16.9
825211,57.0,16.9
826236,57.0,16.9
827236,57.0,16.9
828261,57.0,16.9
829261,57.0,16.9
830286,57.0,16.9
831286,57.0,16.9
832311,57.0,16.9
833311,57.0,16.9
834336,57.0,16.9
835336,57.0,16.9
836361,57.0,16.9
837361,57.0,16.9
838386,57.0,16.9
839386,57.0,16.9
840411,57.0,16.9
841411,57.0,16.9
842436,57.0,16.9
843436,57.0,16.9
844461,57.0,16.9
845461,57.0,16.9
846486,57.0,16.9
847486,57.0,16.9
848511,57.0,16.9
849511,57.0,16.9
850536,57.0,16.9
851536,57.0,16.9
852561,57.0,16.9
853561,57.0,16.9
854586,57.0,16.9
855586,57.0,16.9
856611,57.0,16.9
857611,57.0,16.9
858636,57.0,16.9
859636,57.0,16.9
860661,57.0,16.9
861661,57.0,16.9
862686,57.0,16.9
863686,57.0,16.9
864711,57.0,16.9
865711,57.0,16.9
866736,57.0,16.9
867736,57.0,16.9
868761,57.0,16.9
869761,57.0,16.9
870786,57.0,16.9
871786,57.0,16.9
872811,57.0,16.9
873811,57.0,16.9
874836,57.0,16.9
875836,57.0,16.9
876861,57.0,16.9
877861,57.0,16.9
878886,57.0,16.9
879886,57.0,16.9
880911,57.0,16.9
881911,57.0,16.9
882936,57.0,16.9
883936,57.0,16.9
884961,57.0,16.9
885961,57.0,16.9
886986,57.0,16.9
887986,57.0,16.9
889011,57.0,16.9
890011,57.0,16.9
891036,57.0,16.9
892036,57.0,16.9
893061,57.0,16.9
894061,57.0,16.9
895086,57.0,16.9
896086,57.0,16.9
897111,57.0,16.9
898111,57.0,16.9
899136,57.0,16.9
900136,57.0,16.9
901161,57.0,16.9
902161,57.0,16.9
903186,57.0,16.9
904186,57.0,16.9
905211,57.0,16.9
906211,57.0,16.9
907236,57.0,16.9
908236,57.0,16.9
909261,57.0,16.9
910261,57.0,16.9
911286,57.0,16.9
912286,57.0,16.9
913311,57.0,16.9
914311,57.0,16.9
915336,57.0,16.9
916336,57.0,16.9
917361,57.0,16.9
918361,57.0,16.9
919386,57.0,16.9
920386,57.0,16.9
921411,57.0,16.9
922411,57.0,16.9
923436,57.0,16.9
924436,57.0,16.9
925461,57.0,16.9
926461,57.0,16.9
927486,57.0,16.9
928486,57.0,16.9
929511,57.0,16.9
930511,57.0,16.9
931536,57.0,16.9
932536,57.0,16.9
933561,57.0,16.9
934561,57.0,16.9
935586,57.0,16.9
936586,57.0,17.0
937611,57.0,17.0
938611,57.0,17.0
939636,57.0,17.0
940636,57.0,16.9
941661,57.0,16.9
942661,57.0,16.9
943686,57.0,16.9
944686,57.0,16.9
945711,57.0,16.9
946711,57.0,16.9
947736,57.0,16.9
948736,57.0,17.0
949761,57.0,17.0
950761,57.0,16.9
951786,57.0,16.9
952786,57.0,16.9
953811,57.0,16.9
954811,57.0,17.0
955836,57.0,17.0
956836,57.0,17.0
957861,57.0,17.0
958861,57.0,17.0
959886,57.0,17.0
960886,57.0,17.0
961911,57.0,17.0
962911,57.0,16.9
963936,57.0,16.9
964936,57.0,16.9
965961,57.0,16.9
966961,57.0,17.0
967986,57.0,17.0
968986,57.0,17.0
970011,57.0,17.0
971011,57.0,17.0
972036,57.0,17.0
973036,57.0,16.9
974061,57.0,16.9
975061,56.0,17.0
976086,56.0,17.0
977086,57.0,17.0
978111,57.0,17.0
979111,56.0,16.9
980136,56.0,16.9
981136,56.0,16.9
982161,56.0,16.9
983161,56.0,17.0
984186,56.0,17.0
985186,56.0,17.0
986211,56.0,17.0
987211,56.0,17.0
988236,56.0,17.0
989236,56.0,17.0
990261,56.0,17.0
991261,56.0,17.0
992286,56.0,17.0
993286,56.0,17.0
994311,56.0,17.0
995311,56.0,17.0
996336,56.0,17.0
997336,56.0,17.0
998361,56.0,17.0
999361,56.0,17.0
1000386,56.0,17.0
1001386,56.0,17.0
1002411,56.0,17.0
1003411,56.0,17.0
1004436,56.0,17.0
1005436,56.0,17.0
1006461,56.0,17.0
1007461,56.0,17.0
1008486,56.0,17.0
1009486,56.0,17.0
1010511,56.0,17.0
1011511,56.0,17.0
1012536,56.0,17.0
1013536,56.0,17.0
1014561,56.0,17.0
1015561,56.0,17.0
1016586,56.0,17.0
1017586,56.0,17.0
1018611,56.0,17.0
1019611,56.0,17.0
1020636,56.0,17.0
1021636,56.0,17.0
1022661,56.0,17.0
1023661,56.0,17.0
1024686,56.0,17.0
1025686,56.0,17.0
1026711,56.0,17.0
1027711,56.0,17.0
1028736,56.0,17.0
1029736,56.0,17.0
1030761,56.0,17.0
1031761,56.0,17.0
1032786,56.0,17.0
1033786,56.0,17.0
1034811,56.0,17.0
1035811,56.0,17.0
1036836,56.0,17.0
1037836,56.0,17.0
1038861,56.0,17.0
1039861,56.0,17.0
1040886,56.0,17.0
1041886,56.0,17.0
1042911,56.0,17.0
1043911,56.0,17.0
1044936,56.0,17.0
1045936,56.0,17.0
1046961,56.0,17.0
1047961,56.0,17.0
1048986,56.0,17.0
1049986,56.0,17.0
1051011,56.0,17.0
1052011,56.0,17.0
1053036,56.0,17.0
1054036,56.0,17.0
1055061,56.0,17.0
1056061,56.0,17.0
1057086,56.0,17.0
1058086,56.0,17.0
1059111,56.0,17.0
1060111,56.0,17.0
1061136,56.0,17.0
1062136,56.0,17.0
1063161,56.0,17.0
1064161,56.0,17.0
1065186,56.0,17.0
1066186,56.0,17.0
1067211,56.0,17.0
1068211,56.0,17.0
1069236,56.0,17.0
1070236,56.0,17.0
1071261,56.0,17.0
1072261,56.0,17.0
1073286,56.0,17.0
1074286,56.0,17.0
1075311,56.0,17.0
1076311,56.0,17.0
1077336,56.0,17.0
1078336,56.0,17.0
