,Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
293,Ice cream,2 cups,300,250.0,0,0,12.0,10.0,0.0,Sweets
294,Ices,1 cup,150,117.0,0,0,0.0,0.0,48.0,Sweets
295,preserves,1 T.,20,55.0,0,0,0.0,0.0,14.0,Jams Jellies
296,Jellies,1 T.,20,50.0,0,0,0.0,0.0,13.0,Jams Jellies
297,Molasses,1 T.,20,45.0,0,0,0.0,8.0,11.0,Jams Jellies
298,Cane Syrup,1 T.,20,50.0,0,0,0.0,0.0,13.0,Jams Jellies
299,"9"" diam. pie",1 slice,135,330.0,3,13,11.0,0.1,53.0,Sweets
300,Cherry Pie,1 slice,135,340.0,3,13,11.0,0.1,55.0,Sweets
301,Custard,1 slice,130,265.0,7,11,10.0,0.0,34.0,Sweets
302,Lemon meringue,1 slice,120,300.0,4,12,10.0,0.1,45.0,Sweets
303,Mince,1 slice,135,340.0,3,9,8.0,0.7,62.0,Sweets
304,Pumpkin Pie,1 slice,130,265.0,5,12,11.0,8.0,34.0,Sweets
305,Puddings Sugar,1 cup,200,770.0,0,0,0.0,0.0,199.0,Sweets
306,3 teaspoons sugar,1 T.,12,50.0,0,0,0.0,0.0,12.0,Sweets
307,Brown firm-packed dark sugar,1 cup,220,815.0,0,0,0.0,0.0,210.0,Jams Jellies
308,Syrup,2 T.,40,100.0,0,0,0.0,0.0,25.0,Jams Jellies
309,table blends sugar,2 T.,40,110.0,0,0,0.0,0.0,29.0,Jams Jellies
310,Tapioca cream pudding,1 cup,250,335.0,10,10,9.0,0.0,42.0,Sweets
311,Almonds,1/2 cup,70,425.0,13,38,28.0,1.8,13.0,Seeds-nuts
312,roasted and salted,1/2 cup,70,439.0,13,40,31.0,1.8,13.0,Seeds-nuts
313,Brazil nuts,1/2 cup,70,457.0,10,47,31.0,2.0,7.0,Seeds-nuts
314,Cashews,1/2 cup,70,392.0,12,32,28.0,0.9,20.0,Seeds-nuts
315,coconut sweetened,1/2 cup,50,274.0,1,20,19.0,2.0,26.0,Seeds-nuts
316,Peanut butter,1/3 cup,50,300.0,12,25,17.0,0.9,9.0,Seeds-nuts
317,Peanut butter natural,1/3 cup,50,284.0,13,24,10.0,0.9,8.0,Seeds-nuts
318,Peanuts,1/3 cup,50,290.0,13,25,16.0,1.2,9.0,Seeds-nuts
319,Pecans,1/2 cup,52,343.0,5,35,25.0,1.1,7.0,Seeds-nuts
320,Sesame seeds,1/2 cup,50,280.0,9,24,13.0,3.1,10.0,Seeds-nuts
321,Sunflower seeds,1/2 cup,50,280.0,12,26,7.0,1.9,10.0,Seeds-nuts
322,Walnuts,1/2 cup,50,325.0,7,32,7.0,1.0,8.0,Seeds-nuts
323,Beer,2 cups,480,228.0,0,0,0.0,0.0,8.0,Beverages
324,Gin,1 oz.,28,70.0,0,0,0.0,0.0,0.0,Beverages
